champion_name,region,tier,patch,position,level,win_rate,pick_rate,ban_rate,counters1_name,counters1_win_rate,counters1_games,counters2_name,counters2_win_rate,counters2_games,counters3_name,counters3_win_rate,counters3_games,counters4_name,counters4_win_rate,counters4_games,counters5_name,counters5_win_rate,counters5_games,counters6_name,counters6_win_rate,counters6_games,counters7_name,counters7_win_rate,counters7_games,counters8_name,counters8_win_rate,counters8_games,counters9_name,counters9_win_rate,counters9_games,counters10_name,counters10_win_rate,counters10_games,equip1_name,equip1_pick_rate,equip2_name,equip2_pick_rate,equip3_name,equip3_pick_rate,equip4_name,equip4_pick_rate,equip5_name,equip5_pick_rate
LOL.top.drmundo,global,all,12.21,top,2,52.35,2.72,1.58,LOL.top.darius,54.48,19357,LOL.top.mordekaiser,51.98,14362,LOL.top.aatrox,50.52,12439,LOL.top.sett,50.94,12176,LOL.top.garen,48.19,11782,LOL.top.ksante,58.65,11564,LOL.top.nasus,46.59,10519,LOL.top.jax,53.95,8978,LOL.top.teemo,52.2,8889,LOL.top.fiora,51.07,7907,"冰脉护手,荆棘之甲,振奋盔甲",17.9,"冰脉护手,振奋盔甲,荆棘之甲",7.01,"冰脉护手,荆棘之甲,兰顿之兆",6.78,"日炎圣盾,荆棘之甲,振奋盔甲",6.46,"棘刺背心,冰脉护手,荆棘之甲,振奋盔甲",4.28
LOL.top.drmundo,global,diamond,12.21,top,3,50.26,1.54,0.24,LOL.top.darius,51.93,389,LOL.top.ksante,57.36,258,LOL.top.aatrox,47.5,240,LOL.top.ornn,50.0,212,LOL.top.fiora,47.87,211,LOL.top.camille,47.64,191,LOL.top.mordekaiser,43.39,189,LOL.top.jax,52.51,179,LOL.top.sett,50.32,155,LOL.top.gangplank,49.32,146,"冰脉护手,荆棘之甲,振奋盔甲",12.78,"日炎圣盾,荆棘之甲,振奋盔甲",9.15,"冰脉护手,荆棘之甲,兰顿之兆",5.47,"日炎圣盾,振奋盔甲,荆棘之甲",5.42,"冰脉护手,振奋盔甲,荆棘之甲",4.89
LOL.top.drmundo,global,platinum,12.21,top,3,51.48,1.69,0.59,LOL.top.darius,52.13,1270,LOL.top.ksante,57.06,913,LOL.top.aatrox,47.44,801,LOL.top.mordekaiser,51.89,661,LOL.top.fiora,48.85,608,LOL.top.sett,49.42,599,LOL.top.jax,55.39,547,LOL.top.gangplank,52.51,537,LOL.top.garen,49.81,536,LOL.top.nasus,48.04,510,"冰脉护手,荆棘之甲,振奋盔甲",14.92,"冰脉护手,振奋盔甲,荆棘之甲",6.74,"日炎圣盾,荆棘之甲,振奋盔甲",6.28,"棘刺背心,冰脉护手,荆棘之甲,振奋盔甲",5.7,"冰脉护手,荆棘之甲,兰顿之兆",5.65
LOL.top.drmundo,global,gold,12.21,top,3,52.69,2.2,1.13,LOL.top.darius,53.23,3203,LOL.top.ksante,57.3,2185,LOL.top.mordekaiser,52.22,2135,LOL.top.aatrox,50.53,1989,LOL.top.sett,52.83,1698,LOL.top.garen,47.99,1667,LOL.top.nasus,45.11,1576,LOL.top.jax,56.95,1454,LOL.top.fiora,49.93,1366,LOL.top.gangplank,55.43,1270,"冰脉护手,荆棘之甲,振奋盔甲",17.18,"冰脉护手,振奋盔甲,荆棘之甲",7.54,"冰脉护手,荆棘之甲,兰顿之兆",6.54,"日炎圣盾,荆棘之甲,振奋盔甲",6.27,"棘刺背心,冰脉护手,荆棘之甲,振奋盔甲",5.8
LOL.top.drmundo,global,silver,12.21,top,2,53.0,3.11,2.0,LOL.top.darius,55.91,4992,LOL.top.mordekaiser,51.49,3684,LOL.top.garen,47.63,3273,LOL.top.sett,50.63,3111,LOL.top.aatrox,50.16,3084,LOL.top.nasus,46.26,2996,LOL.top.ksante,60.83,2882,LOL.top.teemo,54.14,2440,LOL.top.jax,54.99,2313,LOL.top.fiora,52.2,2027,"冰脉护手,荆棘之甲,振奋盔甲",19.4,"冰脉护手,振奋盔甲,荆棘之甲",7.76,"日炎圣盾,荆棘之甲,振奋盔甲",7.21,"冰脉护手,荆棘之甲,兰顿之兆",7.12,"棘刺背心,冰脉护手,荆棘之甲,振奋盔甲",4.57
LOL.top.fiora,global,all,12.23,top,1,51.87,8.53,24.59,LOL.top.aatrox,53.86,30965,LOL.top.darius,50.23,22071,LOL.top.sett,50.56,21867,LOL.top.drmundo,49.09,21461,LOL.top.mordekaiser,52.16,20249,LOL.top.jax,52.11,18634,LOL.top.gangplank,49.88,17358,LOL.top.irelia,53.61,14851,LOL.top.nasus,48.87,14418,LOL.top.ksante,56.12,14192,"神圣分离者,贪欲九头蛇,死亡之舞",26.55,"神圣分离者,贪欲九头蛇,朔极之矛",9.25,"贪欲九头蛇,神圣分离者,死亡之舞",8.21,"神圣分离者,贪欲九头蛇,玛莫提乌斯之噬",4.47,"贪欲九头蛇,神圣分离者,朔极之矛",4.19
LOL.top.fiora,global,diamond,12.23,top,1,51.38,10.86,40.8,LOL.top.aatrox,51.86,1292,LOL.top.gangplank,51.04,772,LOL.top.camille,49.59,740,LOL.top.darius,48.74,712,LOL.top.ksante,52.97,708,LOL.top.jax,53.94,634,LOL.top.riven,55.75,574,LOL.top.irelia,50.19,540,LOL.top.drmundo,52.74,529,LOL.top.sett,54.01,524,"神圣分离者,贪欲九头蛇,死亡之舞",30.71,"贪欲九头蛇,神圣分离者,死亡之舞",9.05,"渴血战斧,贪欲九头蛇,死亡之舞",8.08,"神圣分离者,贪欲九头蛇,朔极之矛",7.69,"神圣分离者,贪欲九头蛇,破舰者",7.59
LOL.top.fiora,global,platinum,12.23,top,1,51.49,10.03,34.35,LOL.top.aatrox,51.49,4026,LOL.top.gangplank,48.51,2748,LOL.top.darius,49.93,2277,LOL.top.ksante,57.13,2146,LOL.top.drmundo,50.54,2127,LOL.top.jax,51.93,2045,LOL.top.camille,48.57,1991,LOL.top.sett,49.65,1982,LOL.top.irelia,53.69,1749,LOL.top.mordekaiser,52.79,1686,"神圣分离者,贪欲九头蛇,死亡之舞",28.94,"贪欲九头蛇,神圣分离者,死亡之舞",9.38,"神圣分离者,贪欲九头蛇,朔极之矛",8.69,"神圣分离者,贪欲九头蛇,破舰者",5.03,"神圣分离者,贪欲九头蛇,玛莫提乌斯之噬",4.96
LOL.top.fiora,global,gold,12.23,top,1,52.13,9.22,27.98,LOL.top.aatrox,53.18,7007,LOL.top.darius,49.76,4530,LOL.top.drmundo,49.0,4522,LOL.top.gangplank,51.18,4482,LOL.top.sett,51.25,4224,LOL.top.mordekaiser,51.48,3825,LOL.top.jax,51.88,3795,LOL.top.irelia,52.92,3390,LOL.top.ksante,56.74,3225,LOL.top.nasus,50.29,2923,"神圣分离者,贪欲九头蛇,死亡之舞",28.53,"贪欲九头蛇,神圣分离者,死亡之舞",9.35,"神圣分离者,贪欲九头蛇,朔极之矛",9.34,"神圣分离者,贪欲九头蛇,玛莫提乌斯之噬",4.78,"贪欲九头蛇,神圣分离者,朔极之矛",4.35
LOL.top.fiora,global,silver,12.23,top,2,52.42,8.1,20.8,LOL.top.aatrox,54.72,5298,LOL.top.sett,50.2,4494,LOL.top.drmundo,48.07,4369,LOL.top.darius,50.46,4360,LOL.top.mordekaiser,51.92,4151,LOL.top.jax,53.31,3397,LOL.top.teemo,48.94,3214,LOL.top.nasus,47.94,3056,LOL.top.garen,49.31,3050,LOL.top.irelia,53.13,2671,"神圣分离者,贪欲九头蛇,死亡之舞",27.53,"神圣分离者,贪欲九头蛇,朔极之矛",10.43,"贪欲九头蛇,神圣分离者,死亡之舞",8.36,"贪欲九头蛇,神圣分离者,朔极之矛",4.83,"神圣分离者,贪欲九头蛇,玛莫提乌斯之噬",4.59
